DateTime,Pair,ClosedPosROI,ClosedPosCnt,TradeCnt,InPosCapital,InPosROI0,InPosROI1,ROI
14-12-12 15:59:55,ACC_BIP,0.00,0,0,4905.24,0.62,-1.50,-0.42
14-12-12 15:59:55,TAL_CGI,0.00,0,0,5134.65,-1.17,-0.00,-0.58
14-12-12 15:59:55,IILG_FLY,0.00,0,0,6068.97,-4.35,4.49,0.13
14-12-15 15:59:55,CRH_MLM,0.00,0,0,5045.28,1.69,-2.36,-0.21
14-12-15 15:59:55,PPS_TITN,0.00,0,0,5144.43,1.18,1.78,1.45
14-12-15 15:59:55,MSCC_PRGS,0.00,0,0,5321.18,0.47,-1.06,-0.30
14-12-15 15:59:55,PMCS_SPIL,0.00,0,0,5410.37,-0.46,-0.96,-0.71
14-12-15 16:00:00,AZPN_MXIM,0.00,0,0,5573.37,0.30,-0.03,0.12
14-12-15 15:59:55,IHF_USPH,0.00,0,0,4907.09,-0.22,-0.61,-0.42
14-12-15 15:59:55,SSL_APD,0.00,0,0,4300.82,-0.75,0.55,0.09
14-12-15 15:59:55,NX_IR,0.00,0,0,0.00,0.00,0.00,0.00
14-12-15 15:59:55,CEB_GPX,0.00,0,0,5406.86,-0.47,0.22,-0.12
14-12-15 15:59:55,CNX_BHI,0.00,0,0,5097.30,1.08,-0.20,0.47
14-12-15 16:00:00,EZA_EWH,0.00,0,0,5153.62,-1.94,1.25,-0.29
14-12-15 15:59:55,ACC_BIP,0.00,0,0,4853.78,0.97,-1.87,-0.41
14-12-15 15:59:55,TAL_CGI,0.00,0,0,5104.41,0.48,-0.90,-0.22
14-12-15 15:59:55,IILG_FLY,0.00,0,0,5802.79,-3.35,3.94,0.35
14-12-16 15:59:55,CRH_MLM,0.00,0,0,4944.05,-3.83,1.70,-1.25
14-12-16 15:59:55,PPS_TITN,0.00,0,0,5147.19,-0.16,3.02,1.31
14-12-16 15:59:55,MSCC_PRGS,0.00,0,0,5280.61,2.09,-0.34,0.87
14-12-16 15:59:55,PMCS_SPIL,0.00,0,0,5394.10,0.69,-0.14,0.28
14-12-16 16:00:00,AZPN_MXIM,0.00,0,0,5572.82,-1.18,0.42,-0.31
14-12-16 16:00:00,IHF_USPH,0.00,0,0,4903.30,-0.97,0.98,0.02
14-12-16 15:59:55,SSL_APD,0.00,0,0,4272.68,1.96,0.33,0.91
14-12-16 15:59:55,NX_IR,0.00,0,0,0.00,0.00,0.00,0.00
14-12-16 15:59:55,CEB_GPX,0.00,0,0,5382.50,0.62,0.06,0.34
14-12-16 15:59:55,CNX_BHI,-1.81,1,2,0.00,0.00,0.00,-1.81
14-12-16 16:00:00,EZA_EWH,0.00,0,0,5073.24,0.07,0.98,0.54
14-12-16 15:59:55,ACC_BIP,0.00,0,0,4786.72,0.65,-0.85,-0.08
14-12-16 15:59:55,TAL_CGI,0.00,0,0,5137.26,-1.23,1.36,0.09
14-12-16 15:59:55,IILG_FLY,-0.16,1,2,0.00,0.00,0.00,-0.16
14-12-17 15:59:55,CRH_MLM,0.00,0,0,5085.77,-0.78,4.38,1.60
14-12-17 15:59:55,PPS_TITN,0.00,0,0,5212.83,-1.35,1.00,-0.25
14-12-17 15:59:55,MSCC_PRGS,0.00,0,0,5218.38,-2.84,1.30,-0.74
14-12-17 15:59:55,PMCS_SPIL,0.00,0,0,5371.59,-3.34,1.53,-0.94
14-12-17 15:59:55,AZPN_MXIM,0.00,0,0,5526.95,2.58,-1.02,0.61
14-12-17 15:59:55,IHF_USPH,0.00,0,0,4847.00,1.97,-1.66,0.12
14-12-17 15:59:55,SSL_APD,0.00,0,0,4292.12,5.41,-2.97,0.06
14-12-17 15:59:55,NX_IR,0.00,0,0,0.00,0.00,0.00,0.00
14-12-17 15:59:50,CEB_GPX,0.00,0,0,5396.32,2.73,-3.01,-0.19
14-12-17 15:59:55,CNX_BHI,0.00,0,0,0.00,0.00,0.00,0.00
14-12-17 16:00:00,EZA_EWH,0.00,0,0,5050.10,2.72,0.79,1.73
14-12-17 15:59:55,ACC_BIP,0.00,0,0,4750.80,-1.59,0.30,-0.68
14-12-17 15:59:55,TAL_CGI,0.00,0,0,5073.18,2.87,-3.70,-0.49
14-12-17 15:59:55,IILG_FLY,0.00,0,0,0.00,0.00,0.00,0.00
14-12-18 15:59:55,CRH_MLM,0.00,0,0,5209.71,-5.08,3.75,-0.93
14-12-18 15:59:55,PPS_TITN,0.00,0,0,5277.21,0.05,1.83,0.89
14-12-18 15:59:55,MSCC_PRGS,0.00,0,0,5332.94,-0.68,1.81,0.57
14-12-18 15:59:55,PMCS_SPIL,0.00,0,0,5502.49,-0.00,2.74,1.33
14-12-18 15:59:55,AZPN_MXIM,0.00,0,0,5621.55,7.36,-1.30,2.67
14-12-18 15:59:30,IHF_USPH,0.00,0,0,4937.12,2.41,-1.70,0.32
14-12-18 15:59:55,SSL_APD,0.00,0,0,4458.64,7.88,-2.34,1.42
14-12-18 15:59:55,NX_IR,0.00,0,0,0.00,0.00,0.00,0.00
14-12-18 15:59:55,CEB_GPX,0.00,0,0,5546.22,1.15,-1.00,0.05
14-12-18 15:59:55,CNX_BHI,0.00,0,0,0.00,0.00,0.00,0.00
14-12-18 16:00:00,EZA_EWH,1.36,1,2,0.00,0.00,0.00,1.36
14-12-18 15:59:55,ACC_BIP,0.00,0,0,4797.32,-1.14,1.94,0.34
14-12-18 15:59:55,TAL_CGI,0.00,0,0,5244.06,2.47,-4.35,-1.03
14-12-18 15:59:55,IILG_FLY,0.00,0,0,0.00,0.00,0.00,0.00
14-12-19 15:59:55,CRH_MLM,0.00,0,0,5441.21,1.15,3.34,2.17
14-12-19 15:59:55,PPS_TITN,0.00,0,0,5325.87,-0.22,0.45,0.10
14-12-19 15:59:55,MSCC_PRGS,0.00,0,0,5400.48,0.75,0.55,0.65
14-12-19 15:59:55,PMCS_SPIL,0.00,0,0,5579.03,1.11,-0.53,0.30
14-12-19 15:59:55,AZPN_MXIM,0.00,0,0,5853.10,-0.84,0.29,-0.24
14-12-19 15:59:55,IHF_USPH,0.50,1,2,0.00,0.00,0.00,0.50
14-12-19 15:59:55,SSL_APD,0.00,0,0,4658.62,1.35,-1.79,-0.60
14-12-19 15:59:55,NX_IR,0.00,0,2,6574.42,0.51,-0.06,0.22
14-12-19 15:59:55,CEB_GPX,0.00,0,0,5597.62,-0.37,-2.10,-1.25
14-12-19 15:59:55,CNX_BHI,0.00,0,0,0.00,0.00,0.00,0.00
14-12-19 16:00:00,EZA_EWH,0.00,0,0,0.00,0.00,0.00,0.00
14-12-19 16:00:00,ACC_BIP,0.00,0,0,4872.20,-0.22,-1.65,-0.91
14-12-19 15:59:55,TAL_CGI,0.00,0,0,5427.63,2.48,1.53,1.99
14-12-19 15:59:55,IILG_FLY,0.00,0,0,0.00,0.00,0.00,0.00
14-12-22 15:59:55,CRH_MLM,0.00,0,0,5492.81,0.54,-4.44,-1.84
14-12-22 15:59:55,PPS_TITN,0.00,0,0,5341.08,-2.36,2.16,-0.21
14-12-22 16:00:00,MSCC_PRGS,0.00,0,0,5393.72,-2.58,0.48,-1.02
14-12-22 16:00:00,PMCS_SPIL,0.00,0,0,5532.42,-1.01,2.55,0.75
14-12-22 15:59:55,AZPN_MXIM,0.00,0,0,5822.85,1.01,-1.96,-0.56
14-12-22 15:59:55,IHF_USPH,0.00,0,0,0.00,0.00,0.00,0.00
14-12-22 15:59:55,SSL_APD,0.00,0,0,4732.50,-3.52,-0.55,-1.67
14-12-22 15:59:55,NX_IR,0.00,0,0,6591.64,0.28,-0.33,-0.03
14-12-22 15:59:50,CEB_GPX,0.00,0,0,5643.54,0.96,1.15,1.06
14-12-22 15:59:55,CNX_BHI,0.00,0,0,0.00,0.00,0.00,0.00
14-12-22 16:00:00,EZA_EWH,0.00,0,0,0.00,0.00,0.00,0.00
14-12-22 15:59:55,ACC_BIP,0.00,0,0,4838.96,-2.26,1.03,-0.69
14-12-22 15:59:55,TAL_CGI,0.00,0,0,5445.72,-0.05,-1.07,-0.57
14-12-22 15:59:55,IILG_FLY,0.00,0,0,0.00,0.00,0.00,0.00
14-12-23 15:59:55,CRH_MLM,0.00,0,0,5361.84,-0.88,-1.96,-1.38
14-12-23 15:59:55,PPS_TITN,2.37,1,2,0.00,0.00,0.00,2.37
14-12-23 15:59:55,MSCC_PRGS,0.00,0,0,5482.14,1.43,-0.40,0.51
14-12-23 15:59:55,PMCS_SPIL,0.00,0,0,5633.55,-0.67,-0.26,-0.46
14-12-23 15:59:55,AZPN_MXIM,0.00,0,0,5909.20,1.25,0.16,0.67
14-12-23 16:00:00,IHF_USPH,0.00,0,0,0.00,0.00,0.00,0.00
14-12-23 15:59:55,SSL_APD,0.00,0,0,4684.36,3.04,-0.51,0.79
14-12-23 15:59:55,NX_IR,0.00,0,0,6613.08,2.13,-0.42,0.84
14-12-23 15:59:55,CEB_GPX,0.00,0,0,5647.38,0.01,0.27,0.15
14-12-23 15:59:55,CNX_BHI,0.00,0,0,0.00,0.00,0.00,0.00
14-12-23 16:00:00,EZA_EWH,0.00,0,0,0.00,0.00,0.00,0.00
14-12-23 15:59:55,ACC_BIP,0.00,0,0,4920.28,0.24,1.66,0.92
14-12-23 15:59:55,TAL_CGI,0.00,0,0,5475.18,1.69,-1.06,0.29
14-12-23 15:59:55,IILG_FLY,0.00,0,0,0.00,0.00,0.00,0.00
14-12-24 13:01:00,CRH_MLM,0.00,0,0,5335.61,-0.21,-0.03,-0.12
14-12-24 13:02:05,PPS_TITN,0.00,0,0,0.00,0.00,0.00,0.00
